dstport,protocol,tag
26,tcp,sv_P6
3389,tcp,sv_P5
443,tcp,sv_P2
443,tcp,sv_P2
22,tcp,sv_P4
18510,17,sv_P9
51633,6,sv_P9
26,tcp,sv_P6
31731,17,sv_P10
31,udp,SV_P3
41625,6,sv_P8
57400,17,sv_P10
0,icmp,sv_P5
3185,17,sv_P9
41377,17,sv_P10
22793,17,sv_P9
29257,17,sv_P10
13414,6,sv_P9
39158,6,sv_P9
47962,1,sv_P9
31,udp,SV_P3
25,tcp,sv_P1
3389,tcp,sv_P5
53917,6,sv_P10
31535,17,sv_P8
26,tcp,sv_P6
31,udp,SV_P3
25,tcp,sv_P1
26,tcp,sv_P6
64081,17,sv_P8
143,tcp,email
22,tcp,sv_P4
33596,6,sv_P10
30499,1,sv_P9
143,tcp,email
26,tcp,sv_P6
13335,6,sv_P8
8917,1,sv_P10
14677,6,sv_P8
32928,1,sv_P10
14316,6,sv_P10
21132,17,sv_P9
22,tcp,sv_P4
37073,17,sv_P9
57945,1,sv_P10
31,udp,SV_P3
443,tcp,sv_P2
16324,6,sv_P9
25,tcp,sv_P1
27737,17,sv_P8
23,tcp,sv_P1
22,tcp,sv_P4
28,tcp,sv_P7
56656,6,sv_P9
25895,17,sv_P8
22330,17,sv_P8
33732,6,sv_P10
58527,1,sv_P8
50734,6,sv_P8
9211,17,sv_P10
28,tcp,sv_P7
36048,1,sv_P10
20640,17,sv_P10
68,udp,sv_P2
28,tcp,sv_P7
53437,1,sv_P10
21778,6,sv_P9
110,tcp,email
7901,1,sv_P10
21613,6,sv_P10
993,tcp,email
31,udp,SV_P3
47137,1,sv_P8
28,tcp,sv_P7
61628,6,sv_P10
13523,17,sv_P8
993,tcp,email
26880,1,sv_P9
41918,1,sv_P9
35729,1,sv_P10
443,tcp,sv_P2
110,tcp,email
31,udp,SV_P3
17003,1,sv_P10
31,udp,SV_P3
443,tcp,sv_P2
25,tcp,sv_P1
57235,1,sv_P10
51878,1,sv_P8
0,icmp,sv_P5
3389,tcp,sv_P5
22124,6,sv_P9
68,udp,sv_P2
31,udp,SV_P3
0,icmp,sv_P5
110,tcp,email
110,tcp,email
29079,1,sv_P10
993,tcp,email
993,tcp,email
25,tcp,sv_P1
110,tcp,email
49984,6,sv_P8
0,icmp,sv_P5
58341,17,sv_P10
794,1,sv_P8
9179,17,sv_P10
143,tcp,email
0,icmp,sv_P5
443,tcp,sv_P2
8122,1,sv_P10
17570,17,sv_P8
36967,1,sv_P9
43759,17,sv_P8
68,udp,sv_P2
22217,17,sv_P9
28,tcp,sv_P7
25,tcp,sv_P1
993,tcp,email
42145,6,sv_P8
12602,17,sv_P9
6408,6,sv_P8
443,tcp,sv_P2
25,tcp,sv_P1
23,tcp,sv_P1
25,tcp,sv_P1
28,tcp,sv_P7
31,udp,SV_P3
28,tcp,sv_P7
59045,1,sv_P10
28,tcp,sv_P7
993,tcp,email
110,tcp,email
23,tcp,sv_P1
37782,1,sv_P9
10682,1,sv_P8
68,udp,sv_P2
20174,1,sv_P9
52118,1,sv_P10
3389,tcp,sv_P5
45220,17,sv_P10
28,tcp,sv_P7
22705,1,sv_P8
26,tcp,sv_P6
1837,17,sv_P10
22,tcp,sv_P4
31,udp,SV_P3
110,tcp,email
64359,17,sv_P9
57979,17,sv_P8
23,tcp,sv_P1
32321,6,sv_P9
9755,6,sv_P10
44539,1,sv_P9
54397,17,sv_P8
54525,1,sv_P9
63849,6,sv_P10
23,tcp,sv_P1
7096,1,sv_P8
57737,6,sv_P9
25,tcp,sv_P1
23,tcp,sv_P1
13518,1,sv_P8
10269,17,sv_P9
31,udp,SV_P3
11321,6,sv_P10
28,tcp,sv_P7
25,tcp,sv_P1
31,udp,SV_P3
28265,1,sv_P10
23,tcp,sv_P1
443,tcp,sv_P2
33183,6,sv_P10
3010,1,sv_P9
27704,6,sv_P8
0,icmp,sv_P5
143,tcp,email
18811,6,sv_P8
42380,1,sv_P9
53516,1,sv_P10
1080,6,sv_P10
23,tcp,sv_P1
25,tcp,sv_P1
30893,1,sv_P10
5731,6,sv_P8
5366,17,sv_P10
25,tcp,sv_P1
443,tcp,sv_P2
5719,6,sv_P10
0,icmp,sv_P5
143,tcp,email
25054,6,sv_P10
26,tcp,sv_P6
64399,17,sv_P8
17439,1,sv_P10
61227,1,sv_P10
60970,1,sv_P9
3389,tcp,sv_P5
22,tcp,sv_P4
54887,17,sv_P10
10594,17,sv_P10
26,tcp,sv_P6
28,tcp,sv_P7
543,6,sv_P8
14153,1,sv_P8
58997,17,sv_P8
15436,1,sv_P9
110,tcp,email
50844,6,sv_P10
28465,6,sv_P10
11863,17,sv_P10
46378,6,sv_P9
51905,6,sv_P10
46547,17,sv_P8
993,tcp,email
68,udp,sv_P2
1088,1,sv_P9
53766,1,sv_P9
110,tcp,email
42241,17,sv_P10
15721,1,sv_P10
54463,6,sv_P9
3389,tcp,sv_P5
3837,6,sv_P9
24511,6,sv_P9
57400,1,sv_P10
43138,17,sv_P10
47532,17,sv_P9
31,udp,SV_P3
22,tcp,sv_P4
39771,1,sv_P9
51507,6,sv_P10
31,udp,SV_P3
16150,6,sv_P9
30188,6,sv_P8
0,icmp,sv_P5
22,tcp,sv_P4
993,tcp,email
23,tcp,sv_P1
44500,17,sv_P8
68,udp,sv_P2
23,tcp,sv_P1
3389,tcp,sv_P5
4292,6,sv_P8
3389,tcp,sv_P5
35502,17,sv_P9
25321,17,sv_P9
110,tcp,email
0,icmp,sv_P5
110,tcp,email
26490,6,sv_P8
25,tcp,sv_P1
28,tcp,sv_P7
28,tcp,sv_P7
41079,6,sv_P10
6589,1,sv_P9
0,icmp,sv_P5
49322,6,sv_P8
31,udp,SV_P3
143,tcp,email
56093,1,sv_P9
68,udp,sv_P2
443,tcp,sv_P2
110,tcp,email
28,tcp,sv_P7
13413,17,sv_P10
46306,17,sv_P10
25553,6,sv_P9
59397,1,sv_P9
0,icmp,sv_P5
14333,1,sv_P10
54496,6,sv_P9
45065,6,sv_P9
28,tcp,sv_P7
993,tcp,email
110,tcp,email
38677,6,sv_P8
34301,17,sv_P10
3389,tcp,sv_P5
25,tcp,sv_P1
38056,6,sv_P10
24207,6,sv_P9
31,udp,SV_P3
143,tcp,email
42752,6,sv_P8
33993,6,sv_P9
28,tcp,sv_P7
25,tcp,sv_P1
68,udp,sv_P2
23,tcp,sv_P1
26,tcp,sv_P6
143,tcp,email
3346,6,sv_P9
3389,tcp,sv_P5
31,udp,SV_P3
3389,tcp,sv_P5
62854,1,sv_P9
25,tcp,sv_P1
4682,6,sv_P10
110,tcp,email
56824,1,sv_P9
3389,tcp,sv_P5
143,tcp,email
64665,17,sv_P10
993,tcp,email
42399,1,sv_P8
23390,1,sv_P9
51514,17,sv_P9
68,udp,sv_P2
993,tcp,email
1862,17,sv_P9
12211,17,sv_P9
25,tcp,sv_P1
43528,17,sv_P9
43925,6,sv_P8
28,tcp,sv_P7
55687,1,sv_P9
26,tcp,sv_P6
993,tcp,email
143,tcp,email
16760,17,sv_P9
31,udp,SV_P3
22,tcp,sv_P4
993,tcp,email
40381,1,sv_P9
3389,tcp,sv_P5
23,tcp,sv_P1
22,tcp,sv_P4
25673,6,sv_P10
1072,17,sv_P10
55941,6,sv_P10
22,tcp,sv_P4
51203,6,sv_P8
7037,17,sv_P10
25,tcp,sv_P1
48179,17,sv_P8
3892,1,sv_P9
2620,1,sv_P10
0,icmp,sv_P5
17817,6,sv_P10
23,tcp,sv_P1
11191,17,sv_P8
25,tcp,sv_P1
25,tcp,sv_P1
19936,17,sv_P10
110,tcp,email
26,tcp,sv_P6
32481,17,sv_P9
22,tcp,sv_P4
56950,1,sv_P8
28,tcp,sv_P7
110,tcp,email
4992,17,sv_P9
24163,6,sv_P10
3389,tcp,sv_P5
12175,1,sv_P10
143,tcp,email
24151,1,sv_P10
15630,1,sv_P8
25,tcp,sv_P1
3389,tcp,sv_P5
0,icmp,sv_P5
22,tcp,sv_P4
22,tcp,sv_P4
29589,1,sv_P8
993,tcp,email
32436,17,sv_P10
22,tcp,sv_P4
4087,6,sv_P8
42357,1,sv_P10
56811,1,sv_P9
110,tcp,email
3126,17,sv_P9
110,tcp,email
48254,6,sv_P10
37972,1,sv_P9
30296,6,sv_P10
143,tcp,email
25,tcp,sv_P1
38094,1,sv_P8
53620,1,sv_P9
443,tcp,sv_P2
9759,17,sv_P10
43647,17,sv_P10
443,tcp,sv_P2
60187,17,sv_P9
16958,6,sv_P8
44467,6,sv_P9
22,tcp,sv_P4
993,tcp,email
3389,tcp,sv_P5
44403,6,sv_P9
36215,1,sv_P9
28598,17,sv_P8
23,tcp,sv_P1
54761,17,sv_P10
30310,1,sv_P8
4130,6,sv_P10
1653,6,sv_P10
57380,1,sv_P10
443,tcp,sv_P2
993,tcp,email
993,tcp,email
43304,6,sv_P8
993,tcp,email
59807,1,sv_P8
443,tcp,sv_P2
48891,1,sv_P8
28,tcp,sv_P7
11771,1,sv_P8
48045,6,sv_P10
52042,6,sv_P10
53796,1,sv_P9
23278,1,sv_P9
110,tcp,email
3389,tcp,sv_P5
18025,1,sv_P10
58456,1,sv_P10
16442,1,sv_P8
68,udp,sv_P2
28,tcp,sv_P7
25502,17,sv_P8
59056,6,sv_P8
0,icmp,sv_P5
902,6,sv_P9
1667,1,sv_P10
26,tcp,sv_P6
46143,17,sv_P8
22235,6,sv_P9
65205,1,sv_P10
15545,6,sv_P10
21103,17,sv_P9
53212,17,sv_P9
22,tcp,sv_P4
11032,6,sv_P10
25,tcp,sv_P1
38845,1,sv_P9
20426,1,sv_P9
0,icmp,sv_P5
0,icmp,sv_P5
26,tcp,sv_P6
110,tcp,email
11266,17,sv_P10
22,tcp,sv_P4
2275,6,sv_P8
31,udp,SV_P3
993,tcp,email
49198,6,sv_P9
19822,17,sv_P10
39827,17,sv_P9
31003,1,sv_P10
18011,1,sv_P10
6657,6,sv_P8
642,6,sv_P8
68,udp,sv_P2
22,tcp,sv_P4
15305,1,sv_P8
110,tcp,email
54119,6,sv_P10
26,tcp,sv_P6
993,tcp,email
26,tcp,sv_P6
23,tcp,sv_P1
53390,1,sv_P9
38085,17,sv_P8
26,tcp,sv_P6
54966,17,sv_P10
23,tcp,sv_P1
25,tcp,sv_P1
21471,1,sv_P9
23,tcp,sv_P1
52292,1,sv_P9
143,tcp,email
26,tcp,sv_P6
443,tcp,sv_P2
7843,17,sv_P10
25,tcp,sv_P1
993,tcp,email
110,tcp,email
42320,17,sv_P9
56966,17,sv_P9
26,tcp,sv_P6
26,tcp,sv_P6
31,udp,SV_P3
59906,1,sv_P10
993,tcp,email
28,tcp,sv_P7
19296,1,sv_P10
25,tcp,sv_P1
63869,17,sv_P10
62569,17,sv_P8
4513,6,sv_P10
4808,17,sv_P10
32365,1,sv_P10
9108,1,sv_P10
25,tcp,sv_P1
54503,1,sv_P8
26,tcp,sv_P6
62275,1,sv_P10
31,udp,SV_P3
28,tcp,sv_P7
31,udp,SV_P3
21205,1,sv_P10
23,tcp,sv_P1
68,udp,sv_P2
443,tcp,sv_P2
443,tcp,sv_P2
23,tcp,sv_P1
28,tcp,sv_P7
993,tcp,email
13619,17,sv_P8
16598,6,sv_P10
10434,6,sv_P10
19631,1,sv_P10
32525,17,sv_P10
25,tcp,sv_P1
51561,17,sv_P9
12749,17,sv_P10
28,tcp,sv_P7
45534,6,sv_P9
44792,17,sv_P8
25,tcp,sv_P1
110,tcp,email
143,tcp,email
52587,6,sv_P10
143,tcp,email
993,tcp,email
443,tcp,sv_P2
56656,1,sv_P8
63399,1,sv_P8
443,tcp,sv_P2
47710,1,sv_P8
443,tcp,sv_P2
68,udp,sv_P2
18919,6,sv_P10
6681,17,sv_P9
4451,17,sv_P8
0,icmp,sv_P5
51342,6,sv_P9
25,tcp,sv_P1
31,udp,SV_P3
52723,17,sv_P10
30019,1,sv_P8
57904,1,sv_P10
3389,tcp,sv_P5
16029,6,sv_P10
68,udp,sv_P2
37501,1,sv_P10
28210,6,sv_P9
11496,6,sv_P8
35455,17,sv_P10
0,icmp,sv_P5
28907,1,sv_P10
53419,6,sv_P9
8175,6,sv_P10
23,tcp,sv_P1
993,tcp,email
31,udp,SV_P3
46856,17,sv_P10
5978,6,sv_P10
3721,17,sv_P9
110,tcp,email
3360,17,sv_P10
22,tcp,sv_P4
25,tcp,sv_P1
23,tcp,sv_P1
20129,1,sv_P8
28,tcp,sv_P7
17804,17,sv_P10
443,tcp,sv_P2
25,tcp,sv_P1
19894,17,sv_P8
37546,6,sv_P10
462,17,sv_P8
22,tcp,sv_P4
7289,6,sv_P9
22,tcp,sv_P4
22,tcp,sv_P4
11218,1,sv_P8
68,udp,sv_P2
58925,6,sv_P8
110,tcp,email
14536,17,sv_P8
30239,1,sv_P10
993,tcp,email
63150,1,sv_P8
110,tcp,email
28,tcp,sv_P7
26,tcp,sv_P6
28,tcp,sv_P7
28,tcp,sv_P7
443,tcp,sv_P2
13905,6,sv_P9
143,tcp,email
35692,17,sv_P8
47876,1,sv_P10
26,tcp,sv_P6
143,tcp,email
993,tcp,email
25,tcp,sv_P1
110,tcp,email
143,tcp,email
143,tcp,email
26,tcp,sv_P6
993,tcp,email
31,udp,SV_P3
29477,17,sv_P8
26635,6,sv_P9
22,tcp,sv_P4
48767,1,sv_P9
3389,tcp,sv_P5
443,tcp,sv_P2
51500,1,sv_P8
3389,tcp,sv_P5
22,tcp,sv_P4
0,icmp,sv_P5
31,udp,SV_P3
26,tcp,sv_P6
99,6,sv_P10
110,tcp,email
11448,1,sv_P10
23,tcp,sv_P1
11883,1,sv_P10
49940,6,sv_P9
42229,1,sv_P10
65021,1,sv_P10
15539,17,sv_P9
26,tcp,sv_P6
26,tcp,sv_P6
110,tcp,email
50875,1,sv_P10
42012,6,sv_P10
143,tcp,email
54062,17,sv_P9
0,icmp,sv_P5
59043,17,sv_P8
64656,6,sv_P8
44110,1,sv_P10
2332,1,sv_P9
1570,1,sv_P10
26,tcp,sv_P6
28,tcp,sv_P7
68,udp,sv_P2
110,tcp,email
3389,tcp,sv_P5
31,udp,SV_P3
17117,17,sv_P8
13101,1,sv_P10
68,udp,sv_P2
3389,tcp,sv_P5
28,tcp,sv_P7
22092,1,sv_P10
34283,1,sv_P10
47211,6,sv_P8
22,tcp,sv_P4
110,tcp,email
37937,6,sv_P8
0,icmp,sv_P5
26317,6,sv_P10
25489,6,sv_P10
14393,1,sv_P8
993,tcp,email
9640,17,sv_P9
25,tcp,sv_P1
29597,6,sv_P8
26862,1,sv_P8
12847,6,sv_P8
25,tcp,sv_P1
993,tcp,email
39047,17,sv_P8
143,tcp,email
35663,1,sv_P10
0,icmp,sv_P5
143,tcp,email
16098,6,sv_P8
49958,6,sv_P9
26,tcp,sv_P6
54398,1,sv_P8
6406,6,sv_P10
46746,1,sv_P8
26,tcp,sv_P6
37828,17,sv_P9
25,tcp,sv_P1
28,tcp,sv_P7
62792,1,sv_P9
25,tcp,sv_P1
37749,17,sv_P10
12208,6,sv_P9
17386,6,sv_P10
26,tcp,sv_P6
45000,1,sv_P9
23,tcp,sv_P1
443,tcp,sv_P2
567,1,sv_P10
3389,tcp,sv_P5
34032,17,sv_P10
35075,6,sv_P10
993,tcp,email
0,icmp,sv_P5
7395,1,sv_P8
6847,6,sv_P10
143,tcp,email
68,udp,sv_P2
28,tcp,sv_P7
22,tcp,sv_P4
23,tcp,sv_P1
24694,17,sv_P9
993,tcp,email
25,tcp,sv_P1
19863,6,sv_P10
22,tcp,sv_P4
65493,17,sv_P9
33396,17,sv_P9
993,tcp,email
16140,1,sv_P8
68,udp,sv_P2
143,tcp,email
3389,tcp,sv_P5
68,udp,sv_P2
68,udp,sv_P2
45758,6,sv_P10
143,tcp,email
143,tcp,email
53642,1,sv_P10
68,udp,sv_P2
23,tcp,sv_P1
42664,17,sv_P10
12318,1,sv_P9
43602,1,sv_P10
3389,tcp,sv_P5
41948,1,sv_P8
3389,tcp,sv_P5
31,udp,SV_P3
36295,6,sv_P9
2982,6,sv_P10
56010,6,sv_P8
110,tcp,email
8245,17,sv_P10
15349,6,sv_P10
28,tcp,sv_P7
47916,6,sv_P9
28,tcp,sv_P7
50547,6,sv_P8
2487,1,sv_P8
54601,17,sv_P8
411,1,sv_P8
55717,6,sv_P9
110,tcp,email
31,udp,SV_P3
31,udp,SV_P3
22,tcp,sv_P4
31,udp,SV_P3
23,tcp,sv_P1
26,tcp,sv_P6
3389,tcp,sv_P5
45486,6,sv_P9
25255,1,sv_P9
395,1,sv_P9
15600,1,sv_P8
65410,17,sv_P9
443,tcp,sv_P2
29413,6,sv_P10
14653,1,sv_P8
23,tcp,sv_P1
443,tcp,sv_P2
63493,1,sv_P10
54777,6,sv_P10
22,tcp,sv_P4
11592,1,sv_P9
37643,1,sv_P8
23,tcp,sv_P1
58847,17,sv_P8
64953,1,sv_P8
25,tcp,sv_P1
51385,17,sv_P9
143,tcp,email
52220,6,sv_P10
21711,17,sv_P9
22,tcp,sv_P4
35725,6,sv_P8
143,tcp,email
51040,6,sv_P10
1455,1,sv_P8
110,tcp,email
3389,tcp,sv_P5
23,tcp,sv_P1
18048,6,sv_P8
993,tcp,email
31,udp,SV_P3
22,tcp,sv_P4
40416,1,sv_P8
22,tcp,sv_P4
68,udp,sv_P2
62416,1,sv_P9
45076,6,sv_P8
10394,1,sv_P9
68,udp,sv_P2
8555,17,sv_P9
110,tcp,email
25,tcp,sv_P1
19463,1,sv_P10
38956,6,sv_P8
993,tcp,email
50751,1,sv_P10
48403,1,sv_P10
443,tcp,sv_P2
4929,17,sv_P8
31,udp,SV_P3
29300,17,sv_P10
44451,6,sv_P8
0,icmp,sv_P5
35539,17,sv_P10
3389,tcp,sv_P5
22,tcp,sv_P4
55246,17,sv_P8
0,icmp,sv_P5
26,tcp,sv_P6
27776,17,sv_P8
28,tcp,sv_P7
21487,6,sv_P10
143,tcp,email
31,udp,SV_P3
17398,6,sv_P8
38841,6,sv_P10
44039,17,sv_P9
31,udp,SV_P3
16993,6,sv_P9
26,tcp,sv_P6
57933,17,sv_P9
31563,17,sv_P10
28,tcp,sv_P7
54608,1,sv_P10
11201,1,sv_P10
22,tcp,sv_P4
26,tcp,sv_P6
60759,17,sv_P8
8566,6,sv_P10
61352,1,sv_P10
993,tcp,email
143,tcp,email
8446,6,sv_P8
52545,6,sv_P10
110,tcp,email
993,tcp,email
61754,17,sv_P9
2301,1,sv_P10
23,tcp,sv_P1
3389,tcp,sv_P5
26,tcp,sv_P6
25,tcp,sv_P1
28,tcp,sv_P7
366,17,sv_P8
18454,6,sv_P10
68,udp,sv_P2
49402,6,sv_P8
26,tcp,sv_P6
3389,tcp,sv_P5
59751,1,sv_P9
143,tcp,email
3389,tcp,sv_P5
22,tcp,sv_P4
26320,6,sv_P10
993,tcp,email
20218,17,sv_P10
65245,6,sv_P9
22967,1,sv_P10
31,udp,SV_P3
31,udp,SV_P3
0,icmp,sv_P5
56139,1,sv_P10
22069,17,sv_P8
9309,1,sv_P9
3389,tcp,sv_P5
28,tcp,sv_P7
10668,17,sv_P8
49107,6,sv_P9
22,tcp,sv_P4
443,tcp,sv_P2
62622,1,sv_P8
41495,17,sv_P9
54355,1,sv_P10
54054,1,sv_P8
3389,tcp,sv_P5
23055,6,sv_P8
28,tcp,sv_P7
42610,1,sv_P8
143,tcp,email
44552,6,sv_P8
443,tcp,sv_P2
47953,6,sv_P9
110,tcp,email
59213,1,sv_P9
51943,6,sv_P8
12476,6,sv_P10
5116,17,sv_P10
143,tcp,email
61923,1,sv_P9
40831,17,sv_P10
21526,1,sv_P8
993,tcp,email
29667,17,sv_P9
31,udp,SV_P3
993,tcp,email
29480,6,sv_P8
504,17,sv_P9
25,tcp,sv_P1
47602,6,sv_P9
26,tcp,sv_P6
45023,1,sv_P8
443,tcp,sv_P2
0,icmp,sv_P5
28696,1,sv_P8
25,tcp,sv_P1
9186,1,sv_P8
25,tcp,sv_P1
143,tcp,email
63040,1,sv_P8
22,tcp,sv_P4
25,tcp,sv_P1
57835,17,sv_P9
143,tcp,email
7871,6,sv_P8
110,tcp,email
42859,1,sv_P10
11052,17,sv_P10
443,tcp,sv_P2
65400,1,sv_P10
68,udp,sv_P2
3389,tcp,sv_P5
28,tcp,sv_P7
41435,6,sv_P9
62074,1,sv_P8
15795,6,sv_P10
25,tcp,sv_P1
26509,17,sv_P10
31,udp,SV_P3
23,tcp,sv_P1
0,icmp,sv_P5
38160,1,sv_P8
443,tcp,sv_P2
68,udp,sv_P2
25,tcp,sv_P1
26,tcp,sv_P6
57019,17,sv_P9
54706,17,sv_P8
59516,17,sv_P8
6714,6,sv_P10
0,icmp,sv_P5
20667,1,sv_P9
110,tcp,email
28,tcp,sv_P7
22,tcp,sv_P4
110,tcp,email
44198,17,sv_P9
28629,6,sv_P9
56424,6,sv_P8
110,tcp,email
52588,17,sv_P8
65014,17,sv_P9
36635,17,sv_P8
28980,17,sv_P8
14100,17,sv_P10
50363,17,sv_P10
55621,17,sv_P8
993,tcp,email
59300,17,sv_P8
8970,1,sv_P9
15272,17,sv_P9
43731,1,sv_P10
993,tcp,email
63715,6,sv_P9
37411,17,sv_P9
62235,6,sv_P8
22,tcp,sv_P4
27080,1,sv_P8
28,tcp,sv_P7
65365,1,sv_P10
38246,6,sv_P10
31,udp,SV_P3
10130,6,sv_P8
17447,6,sv_P10
5647,17,sv_P8
143,tcp,email
42170,17,sv_P10
26,tcp,sv_P6
10990,6,sv_P10
22563,17,sv_P9
110,tcp,email
25,tcp,sv_P1
31,udp,SV_P3
50748,1,sv_P10
110,tcp,email
41426,17,sv_P9
110,tcp,email
49832,17,sv_P9
28069,6,sv_P10
35655,6,sv_P8
993,tcp,email
52312,6,sv_P8
143,tcp,email
443,tcp,sv_P2
21411,6,sv_P8
110,tcp,email
28,tcp,sv_P7
3804,6,sv_P9
43950,1,sv_P8
23,tcp,sv_P1
23,tcp,sv_P1
25,tcp,sv_P1
16920,1,sv_P9
48121,1,sv_P8
28,tcp,sv_P7
993,tcp,email
49335,17,sv_P8
34030,1,sv_P8
25,tcp,sv_P1
68,udp,sv_P2
15689,1,sv_P9
26,tcp,sv_P6
34456,6,sv_P9
0,icmp,sv_P5
26,tcp,sv_P6
0,icmp,sv_P5
2894,6,sv_P8
61249,1,sv_P8
443,tcp,sv_P2
35176,6,sv_P10
31,udp,SV_P3
39861,1,sv_P10
28,tcp,sv_P7
3389,tcp,sv_P5
143,tcp,email
389,6,sv_P9
32474,6,sv_P10
5846,1,sv_P9
993,tcp,email
47257,6,sv_P9
27598,6,sv_P8
26,tcp,sv_P6
143,tcp,email
14074,1,sv_P10
63243,6,sv_P9
0,icmp,sv_P5
68,udp,sv_P2
39837,17,sv_P9
2235,17,sv_P8
37363,17,sv_P10
26,tcp,sv_P6
31,udp,SV_P3
31,udp,SV_P3
35833,1,sv_P9
443,tcp,sv_P2
13161,1,sv_P9
31989,1,sv_P9
28,tcp,sv_P7
28,tcp,sv_P7
22,tcp,sv_P4
65058,6,sv_P10
28,tcp,sv_P7
993,tcp,email
37944,6,sv_P9
3988,17,sv_P10
444,1,sv_P10
23,tcp,sv_P1
25467,6,sv_P9
42925,1,sv_P9
68,udp,sv_P2
1982,6,sv_P8
0,icmp,sv_P5
26,tcp,sv_P6
443,tcp,sv_P2
26,tcp,sv_P6
26,tcp,sv_P6
60229,1,sv_P9
11111,1,sv_P10
443,tcp,sv_P2
143,tcp,email
25526,1,sv_P9
3389,tcp,sv_P5
993,tcp,email
19405,1,sv_P10
28,tcp,sv_P7
143,tcp,email
3389,tcp,sv_P5
23,tcp,sv_P1
13981,6,sv_P9
16708,17,sv_P9
33759,1,sv_P9
28,tcp,sv_P7
993,tcp,email
37138,1,sv_P9
28,tcp,sv_P7
3389,tcp,sv_P5
68,udp,sv_P2
43444,17,sv_P10
24482,17,sv_P8
62069,6,sv_P8
143,tcp,email
26,tcp,sv_P6
63289,17,sv_P9
23364,17,sv_P10
28,tcp,sv_P7
52559,1,sv_P8
61696,1,sv_P9
25,tcp,sv_P1
44967,6,sv_P10
3389,tcp,sv_P5
38258,17,sv_P8
36453,17,sv_P9
28,tcp,sv_P7
12558,6,sv_P8
28,tcp,sv_P7
22,tcp,sv_P4
68,udp,sv_P2
4846,17,sv_P10
31,udp,SV_P3
39993,17,sv_P9
26,tcp,sv_P6
443,tcp,sv_P2
47757,1,sv_P10
4157,6,sv_P10
53245,1,sv_P8
10321,6,sv_P8
3389,tcp,sv_P5
9571,1,sv_P10
25,tcp,sv_P1
62166,17,sv_P8
29310,6,sv_P8
68,udp,sv_P2
28,tcp,sv_P7
47098,6,sv_P9
30919,17,sv_P10
35918,1,sv_P8
48655,17,sv_P9
38037,17,sv_P9
110,tcp,email
45841,6,sv_P9
23278,6,sv_P10
11576,6,sv_P9
48156,1,sv_P8
55142,1,sv_P9
32522,1,sv_P9
443,tcp,sv_P2
50427,17,sv_P9
23,tcp,sv_P1
53010,1,sv_P10
443,tcp,sv_P2
18880,6,sv_P8
0,icmp,sv_P5
443,tcp,sv_P2
26,tcp,sv_P6
56956,17,sv_P9
37581,6,sv_P10
42001,1,sv_P9
17436,1,sv_P10
45798,1,sv_P9
25,tcp,sv_P1
31874,17,sv_P8
19156,1,sv_P8
15559,17,sv_P8
45709,17,sv_P10
68,udp,sv_P2
11302,17,sv_P9
20143,1,sv_P10
23,tcp,sv_P1
48860,6,sv_P8
10947,1,sv_P10
33012,6,sv_P9
443,tcp,sv_P2
3389,tcp,sv_P5
28,tcp,sv_P7
22,tcp,sv_P4
26,tcp,sv_P6
25,tcp,sv_P1
28,tcp,sv_P7
24369,17,sv_P9
3389,tcp,sv_P5
28,tcp,sv_P7
62482,17,sv_P8
39823,6,sv_P8
3389,tcp,sv_P5
28,tcp,sv_P7
110,tcp,email
7111,1,sv_P9
28,tcp,sv_P7
65258,6,sv_P10
53385,1,sv_P8
26,tcp,sv_P6
143,tcp,email
30655,6,sv_P8
31,udp,SV_P3
51001,6,sv_P9
110,tcp,email
28,tcp,sv_P7
110,tcp,email
0,icmp,sv_P5
993,tcp,email
0,icmp,sv_P5
16710,6,sv_P9
25,tcp,sv_P1
143,tcp,email
40507,17,sv_P8
48635,1,sv_P10
3515,1,sv_P10
443,tcp,sv_P2
26,tcp,sv_P6
25,tcp,sv_P1
31,udp,SV_P3
23,tcp,sv_P1
31,udp,SV_P3
24265,17,sv_P10
43632,17,sv_P9
21975,6,sv_P9
20736,1,sv_P10
110,tcp,email
3389,tcp,sv_P5
40222,6,sv_P10
23,tcp,sv_P1
143,tcp,email
32865,1,sv_P9
54218,17,sv_P10
15576,17,sv_P8
0,icmp,sv_P5
48651,1,sv_P9
1408,1,sv_P8
22,tcp,sv_P4
54478,6,sv_P8
23,tcp,sv_P1
42200,17,sv_P9
65059,6,sv_P9
46060,6,sv_P9
33115,1,sv_P9
68,udp,sv_P2
54823,6,sv_P10
49821,6,sv_P10
2525,17,sv_P9
22,tcp,sv_P4
25087,17,sv_P8
143,tcp,email
53394,1,sv_P8
28,tcp,sv_P7
51013,1,sv_P8
56473,17,sv_P9
40959,1,sv_P10
110,tcp,email
20994,17,sv_P8
22,tcp,sv_P4
0,icmp,sv_P5
28,tcp,sv_P7
143,tcp,email
23,tcp,sv_P1
3389,tcp,sv_P5
62524,1,sv_P10
46572,6,sv_P10
22,tcp,sv_P4
65332,6,sv_P9
59602,17,sv_P8
23,tcp,sv_P1
20436,6,sv_P10
61499,6,sv_P10
2642,6,sv_P9
57403,6,sv_P9
143,tcp,email
3678,1,sv_P10
28,tcp,sv_P7
20013,6,sv_P8
42130,6,sv_P10
36701,6,sv_P9
110,tcp,email
993,tcp,email
63864,6,sv_P10
68,udp,sv_P2
42076,1,sv_P8
68,udp,sv_P2
